"NAME_2","Name","Type","Mental_Health_Cases","Province","Population ","Revenue","Number_of_Hospitals"
"Calatagan","Calatagan","Municipality","43","Batangas","58,719","324,565,670.00","0"
"Cuenca","Cuenca","Municipality","24","Batangas","36,325","184,136,837.87","1"
"Ibaan","Ibaan","Municipality","NaN","Batangas","58,507","62,068,100.40","1"
"Laurel","Laurel","Municipality","0","Batangas","43,210","220,426,424.25","0"
"Lemery","Lemery","Municipality","3","Batangas","93,186","99,784,689.32","4"
"Lian","Lian","Municipality","0","Batangas","52,660","257,363,857.76","0"
"LipaCity","Lipa","City","NaN","Batangas","400,000","2,934,746,180.82","10"
"Lobo","Lobo","Municipality","5","Batangas","49,047","254,558,753.00","1"
"Mabini","Mabini","Municipality","NaN","Batangas","50,670","289,903,995.43","1"
"Malvar","Malvar","Municipality","NaN","Batangas","56,270","565,492,179.60","0"
"MataasnaKahoy","MataasnaKahoy","Municipality","0","Batangas","29,187","28,467,866.10","0"
"Nasugbu","Nasugbu","Municipality","142","Batangas","134,113","664,065,862.39","2"
"Padre Garcia","Padre Garcia","Municipality","32","Batangas","48,302","316,005,526.23","0"
"Rosario","Rosario","Municipality","0","Batangas","128,352","77,171,602.16","6"
"SanJose","San Jose","Municipality","42","Batangas","76,971","379,271,892.39","2"
"SanJuan","San Juan","Municipality","56","Batangas","118,490","522,521,430.49","3"
"SanLuis","San Luis","Municipality","35","Batangas","36,172","171,605,037.43","0"
"SanNicholas","San Nicholas","Municipality","0","Batangas","22,623","144,975,247.02","0"
"SanPascual","San Pascual","Municipality","0","Batangas","69,009","374,647,484.92","2"
"SanTeresita","San Teresita","Municipality","NaN","Batangas","21,559","9,362,697.40","0"
"SantoTomas","Santo Tomas","City","153","Batangas","218,500","1,526,158,706.73","3"
"Taal","Taal","Municipality","NaN","Batangas","61,460","256,202,215.57","1"
"Talisay","Talisay","Municipality","27","Batangas","46,637","239,716,223.51","2"
"TanauanCity","Tanauan","City","NaN","Batangas","193,936","2,275,119,575.64","5"
"Taysan","Taysan","Municipality","2","Batangas","40,146","41,182,226.37","0"
"Tingloy","Tingloy","Municipality","14","Batangas","17,919","114,137,337.65","0"
"Tuy","Tuy","Municipality","11","Batangas","46,519","223,324,437.77","0"
"Agdangan","Agdangan","Municipality","NaN","Quezon","12,764","101,754,484.83","0"
"Alabat","Alabat","Municipality","42","Quezon","15,936","15,320,573.46","0"
"Atimonan","Atimonan","Municipality","1","Quezon","70,698","352,460,694.92","2"
"Buenavista","Buenavista","Municipality","0","Quezon","31,160","189,065,561.10","0"
"Burdeos","Burdeos","Municipality","0","Quezon","24,644","2,355,905.26","0"
"Calauag","Calauag","Municipality","0","Quezon","71,809","321,745,927.90","1"
"Candelaria","Candelaria","Municipality","0","Quezon","137,881","551,658,978.57","2"
"Catanauan","Catanauan","Municipality","88","Quezon","72,752","343,799,557.00","1"
"Dolores","Dolores","Municipality","NaN","Quezon","32,514","170,425,149.01","0"
"GeneralLuna","General Luna","Municipality","0","Quezon","24,804","157,495,411.33","0"
"GeneralNakar","General Nakar","Municipality","0","Quezon","34,225","515,045,258.27","0"
"Guinayangan","Guinayangan","Municipality","0","Quezon","45,155","240,124,167.15","1"
"Gumaca","Gumaca","Municipality","5","Quezon","73,877","339,622,238.52","3"
"Infanta","Infanta","Municipality","0","Quezon","69,079","375,606,846.91","1"
"Jomalig","Jomalig","Municipality","0","Quezon","7,417","92,552,576.24","0"
"Lopez","Lopez","Municipality","0","Quezon","94,657","446,381,605.09","2"
"Lucban","Lucban","Municipality","4","Quezon","51,475","292,098,456.00","1"
"LucenaCity","Lucena","City","24","Quezon","278,924","1,853,XXX,XXX.00","5"
"Macalelon","Macalelon","Municipality","0","Quezon","28,188","167,852,736.22","0"
"Mauban","Mauban","Municipality","15","Quezon","71,081","882,511,869.83","1"
"Mulanay","Mulanay","Municipality","45","Quezon","55,576","324,667,899.65","0"
"Padre Burgos","Padre Burgos","Municipality","13","Quezon","22,460","146,595,034.80","0"
"Pagbilao","Pagbilao","Municipality","NaN","Quezon","78,700","632,512,855.75","0"
"Panukulan","Panukulan","Municipality","0","Quezon","16,376","3,970,320.65","0"
"Patnunangan","Patnunangan","Municipality","NaN","Quezon","14,606","133,319,024.68","0"
"Perez","Perez","Municipality","37","Quezon","12,767","109,798,274.32","0"
"Pitogo","Pitogo","Municipality","0","Quezon","22,798","132,484,914.00","0"
"Plaridel","Plaridel","Municipality","0","Quezon","10,129","93,003,125.58","0"
"Polillo","Polillo","Municipality","0","Quezon","31,908","260,169,690.70","0"
"Quezon","Quezon","Municipality","0","Quezon","15,886","120,208,099.57","0"
"Real","Real","Municipality","0","Quezon","38,678","335,258,072.80","0"
"Sampaloc","Sampaloc","Municipality","NaN","Quezon","13,907","129,941,359.22","0"
"SanAndres","San Andres","Municipality","NaN","Quezon","37,454","210,085,429.61","0"
"SanAntonio","San Antonio","Municipality","0","Quezon","35,891","179,037,820.87","0"
"SanFrancisco","San Francisco","Municipality","12","Quezon","62,097","306,347,904.35","1"
"SanNarciso","San Narciso","Municipality","8","Quezon","48,461","267,603,203.60","0"
"Sariaya","Sariaya","Municipality","0","Quezon","148,980","647,841,347.77","1"
"Tagkawayan","Tagkawayan","Municipality","39","Quezon","54,003","356,457,700.54","1"
"TayabasCity","Tayabas","City","14","Quezon","112,658","1,141,193,479.98","1"
"Tiaong","Tiaong","Municipality","0","Quezon","106,265","445,733,433.73","0"
"Unisan","Unisan","Municipality","NaN","Quezon","25,448","178,884,379.96","1"
"Angono","Angono","Municipality","16","Rizal","113,283","591,473,256.91","3"
"AntipoloCity","Antipolo","City","145","Rizal","887,399","5,335,123,282.18","14"
"Baras","Baras","Municipality","NaN","Rizal","87,637","354,566,963.69","0"
"Binangonan","Binangonan","Municipality","0","Rizal","313,631","1,174,209,298.00","3"
"Cainta","Cainta","Municipality","0","Rizal","376,933","1,826,272,630.06","3"
"Cardona","Cardona","Municipality","51","Rizal","50,143","217,493,547.40","1"
"Jalajala","Jalajala","Municipality","5","Rizal","34,017","172,774,861.23","0"
"Morong","Morong","Municipality","NaN","Rizal","71,151","316,689,908.71","2"
"Pililla","Pililla","Municipality","0","Rizal","71,535","353,379,604.74","0"
"Rodriguez","Rodriguez","Municipality","0","Rizal","443,954","1,482,881,706.15","2"
"SanMateo","San Mateo","Municipality","46","Rizal","273,306","1,040,631,712.00","3"
"Tanay","Tanay","Municipality","0","Rizal","117,830","680,271,110.93","1"
"Taytay","Taytay","Municipality","0","Rizal","319,104","1,651,910,328.57","4"
"Teresa","Teresa","Municipality","NaN","Rizal","57,755","336,383,264.70","1"
